time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2002/12,-8,,,1865,1184,2.7,,1384,4090,-387,1467,3102,2231,2614,1494,2508,904,,2856,2290,1889.8,930,686,-51,36,535,991,,2429,1018,1049,379,706,1768,456.4,,511,427.7,590,,-2861.3,-343.8,505,,,-1467,-96.4,465,152,728.7,736.3,1502,231.6,35.5,533,,378,732,-59,-7.4,241.3,200.1,78.4,126.9,43.1,-589,627.1,-347,-809,-44905,145.7,683,319,350,931,340.9,-168.6,44.6,33.8,-104,262,87.2,132,-2.3,161.7,40.1,,561,50.9,157,-428,-52,-79,,,112,,44.4,305,,245,154.3,61,100,-130,148.7,,106.1,-193,,322,338,369.6,261.7,223,98.2,-68,-616,239.7,137
2003/03,14,,,2142,1730,-10.1,,2070,7040,1400,1492,2999,5003,2424,1273,1861,1920,,4665,2406,1710.4,835,907,-297,314,571,987,,4103,1384,915,403,698,2186,493.3,,502,487.1,-478,,149.2,327.4,662,,,254,1,792,124.7,884.8,407,611,370.9,-438.1,502,,429,905,71,-7.7,103,196.3,52,118.7,47.8,117,801,250,76,396,182.1,692,406,535,848,324,247.4,41.2,35.3,1954,262,36.4,179,-2.4,103.1,54.2,,362,19.7,221,1221,225,71,,,70.8,,129.4,129,,147,113.5,60,295,896,302.5,,104.1,196,,325,512,397.7,329.4,195.4,330,95,43,308.5,99
2003/06,19,,,1483,2229,-43.3,,1210,4170,1827,1525,3794,1388,2738,955,2444,1600,,-3591,338,1867,1362,1299,-22,502,858,982,,4299,1705,896,439,944,2437,607.2,,619,450.4,-192,,112.1,470.9,695,,,319,2.9,902,246.2,919.9,692.2,692,296.1,100.4,632,,288,599,70,7.7,191.7,199.8,68.4,132.1,50.7,121,246.6,242,393,1064,153.8,762,591,675,949,359.8,370.5,28.8,38.7,2276,184,53.1,243,3.3,125.1,64.2,,580,24.2,242,1187,424,126,,,66,,108.8,399,,280,123.3,295,295,417,437.4,,107.5,196,,374,244,417.3,216.7,276.1,138.4,100,26,286.2,127
2003/09,44,,,2614,1806,15.6,,2072,3650,1628,1561,3649,1216,2922,1761,2028,1975,,2235,1791,1858.3,1223,1147,3176,415,440,1086,,4691,1785,1657,476,1012,2490,612.1,,663,476.1,256,,-55.3,547.4,677,,,344,4.3,906,261.2,950.9,714.4,739,277.1,73.1,639,,317,1035,-3451,9.7,291.4,187.8,69.6,120.5,51.5,447,761.2,217,332,541,239.4,770,446,-873,810,365.4,355,45.5,40.1,2337,281,48.5,335,3.3,138.6,64.5,,574,6.4,262,1306,49,127,,,58.4,,117.4,222,,128,182.8,-188,260,-25,618.8,,107.8,297,,446,-252,419.7,194.9,268.9,215.9,-35,58,275.5,-103
2003/12,63,27.3,27.3,1549,2386,73.2,,1845,6650,1864,1624,4560,905,2726,1818,2722,1735,,602,-1458,1395.2,927,951,383,688,617,724,,4760,2709,2173,507,914,2091,546.9,,619,463.9,1132,,177,125.7,971,,,407,5.4,506,179.1,882.9,747.2,856,254.9,192.6,588,,551,1014,-136,2.2,352.3,263.4,110.1,174.3,52.9,512,944.4,344,929,638,160.2,763,401,636,869,372.1,444.6,-990.6,41.4,2707,274,61.9,146,2.3,169.9,83.3,,701,24.2,279,1021,-2021,148,,,173.5,,74.5,349,,91,238.7,-97,307,-793,136.3,,134.1,575,,382,-171,459.5,228.6,283.3,249.5,205,-947,265.7,123
2004/03,46,27.3,27.3,1315,1550,111.1,,2493,5440,1930,1767,3240,1948,2681,1528,2166,2562,,2331,1199,1618.6,1127,1098,65,537,635,1211,,5273,1363,1730,554,804,2194,690.2,,722,568.9,623,,220.3,511.5,1293,,,295,8.9,964,200.3,1008.4,400.4,759,433.5,114.4,579,,165,1226,122,5.1,488.4,244.6,78.9,123.1,46.7,367,822.9,291,469,961,226.8,794,455,668,560,338.5,447.4,-41.2,55.2,2656,328,43.1,138,-5.8,145.2,123,,598,21.3,269,1616,311,161,,,56.2,,100.9,412,,207,168.1,154,364,1952,336.6,,135.9,401,,487,441,459.3,300.3,290.2,365.8,128,-65,450.8,30
2004/06,61,79.1,79.1,2690,1282,76.5,,2458,5790,-548,1714,3924,1168,3849,1374,2651,4125,,2863,1797,1768.1,1584,1545,262,604,988,1380,,1144,1735,1757,596,1059,2627,748.1,,773,529.7,607,,355.6,590.7,1187,,,361,2.6,527,305,1036.9,656.9,818,342.3,111.5,837,,158,1223,151,11.4,486.4,234.5,98.1,210.4,34.9,441,634.3,296,685,777,198.7,876,704,503,698,373.9,423,0.8,48,2862,304,91.1,257,2.9,182.2,109.4,1.2,954,5.1,300,2075,435,113,,,78.5,,144.9,552,,412,118.2,252,371,1165,361.7,,152.7,549,,581,255,454.3,211.9,360.4,286.3,-108,-667,407.4,119
2004/09,106,52,52,2528,1137,54.1,,2341,5680,1418,1748,4051,2094,3764,1942,2286,3201,,3341,1796,1325.6,935,1317,220,516,509,1396,,5308,1554,1906,698,1364,2648,236,,775,535.7,456,,318.2,778.4,879,,,372,19,758,326.8,1065.5,755.2,890,324.4,113.2,722,,202,837,339,10,393,184.6,102.4,183,14.6,563,804.1,307,102,499,296.8,879,522,331,779,329,4,36.8,-9.8,2685,258,106.5,320,18.9,200.8,104.5,2.2,695,25.9,322,2006,389,-41,,,82,,172.3,498,,169,200.9,-42,354,266,651.9,,14.4,728,,758,341,441.3,208.2,330.1,1292.3,152,-44,490.2,123
2004/12,295,204.1,204.1,3463,3339,346.7,,1217,8420,1666,1785,5631,688,3849,1975,3164,3440,,2825,3039,1101.1,1201,1041,423,686,815,1400,,5321,2827,2123,739,985,1947,689,,720,544.1,186,,329.8,397.9,1194,,,253,12.4,139,261.9,1056,-2.4,866,328.6,110.2,612,,79,1200,76,5,513,255.1,144.7,196.3,54.6,490,974.6,372,1026,1127,193.2,896,508,278,628,285.7,278,28.7,49.8,1612,307,121.1,172,5.6,217.7,113.5,3.6,511,48,336,2432,358,53,386,386,126.3,,206.8,551,,354,165,-40,351,104,207,,162.7,578,,742,228,445.3,250.1,358.1,300.7,245,-203,195.1,66
2005/03,290,369.2,369.2,2563,1363,78,,2839,7860,2264,1856,3965,885,4393,1614,2461,2677,,301,1757,1370.1,1002,1247,143,657,540,1405,,5441,1402,2178,743,912,2596,854,93.3,771,194.4,535,,523.4,727.9,1512,,,358,48.2,533,273.4,1071,736.6,882,490.9,157.1,651,,128,1402,281,5,532,289.7,100.5,209.8,38.6,411,837.9,369,880,915,305.5,946,586,967,713,300.1,436.6,43.5,46.5,3799,354,48.9,137,-8.8,188.3,151.9,4.4,987,65.5,336,2912,868,145,400,400,75.5,,202.7,581,,317,135.6,373,379,875,330.4,,166.7,929,,846,433,450.1,338.4,312.3,389.3,166,365,506.6,579
